# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 17 13:20:17 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.09142090000,0.0231200000,20.45642500,1.82500000,441.78370000,1.39000000,Mass,0.020000,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6250.00,1.619000,1.380000,0.3200,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2017-06,2019-03-21
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=MACIEJEWSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588L...6M/abstract target=ref>Maciejewski et al. 2016</a>,1.09142162000,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6154.00,1.749420,1.170000,0.2100,[M/H],4.020460,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2016-04,2016-08-18
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=HEBB_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1920H/abstract target=ref> Hebb et al. 2009 </a>,1.09142300000,0.0229000000,20.10000000,1.79000000,448.00000000,1.41000000,Mass,0.049000,,,0,<a refstr=HEBB_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1920H/abstract target=ref> Hebb et al. 2009 </a>,,6300.00,1.570000,1.350000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2009-03,2014-05-14
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=_OUML_ZT_UUML_RK__AMP__ERDEM_2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2290O/abstract target=ref>&Ouml;zt&uuml;rk &amp; Erdem 2019</a>,1.09141990000,,20.38917100,1.81900000,448.14030000,1.41000000,Mass,0.000000,,2601.00,0,<a refstr=_OUML_ZT_UUML_RK__AMP__ERDEM_2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2290O/abstract target=ref>&Ouml;zt&uuml;rk &amp; Erdem 2019</a>,,6300.00,1.570000,1.350000,0.3000,[Fe/H],4.170000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-11-01,2019-06,2019-11-07
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=BARSTOW_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834...50B/abstract target=ref>Barstow et al. 2017</a>,,,,,,,,,,2530.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6154.00,1.749420,1.170000,0.2100,[M/H],4.020460,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2017-01,2016-10-13
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..126K/abstract target=ref> Knutson et al. 2014 </a>,,,,,441.78370000,1.39000000,Mass,0.037000,,,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..126K/abstract target=ref> Knutson et al. 2014 </a>,,,,1.380000,0.0700,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2014-04,2015-10-15
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..258...40K/abstract target=ref>Kokori et al. 2022</a>,1.09141964000,,,,,,,,,,0,<a refstr=HEBB_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1920H/abstract target=ref> Hebb et al. 2009 </a>,,6300.00,1.570000,1.350000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2022-01-24,2022-02,2022-01-24
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>,1.09000000000,,19.39157000,1.73000000,444.96200000,1.40000000,Mass,,,2510.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6154.00,1.749420,1.170000,0.2100,[M/H],4.020460,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2016-01,2016-01-14
WASP-12 b,WASP-12,0,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,1.09142000000,0.0232000000,21.71183300,1.93700000,465.62095000,1.46500000,Mass,,,2592.60,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,6360.00,1.657000,1.434000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2019-07-08,2019-07,2019-07-11
WASP-12 b,WASP-12,1,3,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=LEONARDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A..84L/abstract target=ref>Leonardi et al. 2024</a>,1.09141890100,0.0234000000,22.02564708,1.96500000,,,,,,,0,<a refstr=LEONARDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A..84L/abstract target=ref>Leonardi et al. 2024</a>,,6265.00,1.690000,1.325000,0.1200,[Fe/H],4.110000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m32.79s,97.6366450,+29d40m20.16s,29.6722662,427.24600000,11.5690000,10.1880000,11.4999000,2025-02-12,2024-06,2025-02-12
