# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 11 14:04:34 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3425851,K00268.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,110.37838280,175.9317000,0.0140,12.2110,489.8,3.02,473.0,11.82,108.90,1,q1_q17_dr25_tce,6342.00,4.242,1.3590,285.728790,38.506973,10.560
11623629,K00365.01,Kepler-538 b,CONFIRMED,CANDIDATE,0.7550,0,0,0,0,81.73787200,211.6788180,0.0200,6.6923,628.8,2.16,385.0,5.20,135.40,1,q1_q17_dr25_tce,5559.00,4.502,0.8730,297.486910,49.623451,11.195
7296438,K00364.01,,CANDIDATE,CANDIDATE,,0,0,0,0,173.92851338,223.7546088,,2.6400,,,,,,,,,,,295.872310,42.881149,10.087
5966322,K00303.01,Kepler-517 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,60.92818866,173.3721200,0.0090,6.3336,755.6,2.78,467.0,11.28,120.10,1,q1_q17_dr25_tce,5638.00,4.359,1.0230,293.675320,41.295361,12.193
8292840,K00260.02,Kepler-126 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,100.28306750,245.0431800,0.5350,10.8636,351.2,2.51,475.0,12.07,81.90,1,q1_q17_dr25_tce,6214.00,4.238,1.2970,289.347320,44.208511,10.500
9451706,K00271.01,Kepler-127 d,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,48.63038050,172.5473600,0.0340,7.0805,339.8,2.48,590.0,28.60,53.90,2,q1_q17_dr25_tce,6075.00,4.264,1.3520,285.190000,46.027962,11.485
9414417,K00974.01,,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,53.50576110,172.9830400,0.4600,10.5616,195.6,2.52,675.0,49.16,71.20,1,q1_q17_dr25_tce,6247.00,4.016,1.7620,295.802670,45.988079,9.582
9002278,K00701.03,Kepler-62 e,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,122.38586810,150.4115800,0.1010,7.1230,711.1,1.72,269.0,1.24,46.30,3,q1_q17_dr25_tce,4926.00,4.653,0.6620,283.212740,45.349861,13.725
9965439,K00722.01,Kepler-655 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,46.40626000,192.9963300,0.0180,7.0281,469.1,2.66,588.0,28.23,51.20,1,q1_q17_dr25_tce,6086.00,4.276,1.2270,297.259090,46.843189,13.489
11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE,0.8540,0,0,0,0,82.53411880,209.1276300,0.0330,4.8556,1895.4,2.45,260.0,1.08,40.10,1,q1_q17_dr25_tce,4316.00,4.678,0.5800,297.090670,49.626572,15.187
7199397,K00075.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,105.88176670,156.9793500,0.5390,18.0440,1556.3,10.16,595.0,29.64,301.80,1,q1_q17_dr25_tce,5903.00,3.757,2.4990,291.497220,42.728481,10.775
11297236,K01857.01,Kepler-1771 b,CONFIRMED,CANDIDATE,0.8620,0,0,0,0,88.64400150,145.4719300,0.7240,7.8200,625.5,2.51,391.0,5.51,57.60,1,q1_q17_dr25_tce,5661.00,4.471,0.9340,292.013400,49.019119,13.748
9349482,K02020.01,Kepler-1058 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,110.96437060,187.0462100,0.7290,12.8310,1283.2,2.11,239.0,0.77,42.10,1,q1_q17_dr25_tce,4441.00,4.695,0.5460,294.595790,45.875031,15.498
10810838,K00174.01,Kepler-482 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,56.35407916,144.8376800,0.8350,3.4449,1037.0,2.59,352.0,3.63,59.40,1,q1_q17_dr25_tce,4802.00,4.582,0.7010,296.822910,48.107552,13.779
10471621,K02554.01,,CANDIDATE,CANDIDATE,0.5820,0,0,0,0,39.75576420,150.6074500,1.2190,1.9580,621.8,13.72,325.0,2.64,10.20,2,q1_q17_dr25_tce,4405.00,4.732,0.5110,292.379790,47.644611,15.439
7761545,K01472.01,Kepler-857 b,CONFIRMED,CANDIDATE,0.9360,0,0,0,0,85.35148750,161.0076080,0.0520,6.7504,4674.7,6.31,390.0,5.44,142.80,1,q1_q17_dr25_tce,5584.00,4.478,0.9380,294.632390,43.400471,15.061
8686097,K00374.01,Kepler-540 b,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,172.70460830,236.9257400,0.0040,11.3470,659.1,2.85,355.0,3.77,92.90,1,q1_q17_dr25_tce,5851.00,4.302,1.1160,290.625240,44.873959,12.209
12121570,K02290.01,Kepler-1816 b,CONFIRMED,CANDIDATE,0.9700,0,0,0,0,91.50087300,165.6730900,0.0320,4.8420,704.8,1.82,310.0,2.18,22.60,1,q1_q17_dr25_tce,5051.00,4.628,0.7060,296.851010,50.698929,14.447
9661979,K02132.01,Kepler-1681 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,69.89567890,160.6680500,0.8720,5.2760,548.4,3.04,442.0,8.99,21.90,1,q1_q17_dr25_tce,5390.00,4.303,1.1040,296.697270,46.371712,14.552
2449431,K02009.01,,CANDIDATE,CANDIDATE,0.9360,0,0,0,0,86.74908070,170.2928100,0.0030,9.1790,547.1,2.23,398.0,5.94,35.70,1,q1_q17_dr25_tce,5579.00,4.419,0.9700,292.773990,37.797691,13.820
2443393,K02603.01,,CANDIDATE,CANDIDATE,0.8840,0,0,0,0,73.71103900,202.7848000,0.2840,10.0620,136.7,1.77,563.0,23.81,21.10,1,q1_q17_dr25_tce,6374.00,4.193,1.5020,291.457550,37.742935,12.643
5526717,K01677.01,Kepler-926 b,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,52.06900200,178.1552500,0.2750,3.0089,558.3,2.92,524.0,17.76,25.60,1,q1_q17_dr25_tce,5565.00,4.251,1.2460,289.679350,40.700459,14.279
10027247,K02418.01,Kepler-1229 b,CONFIRMED,CANDIDATE,0.9370,0,0,0,0,86.82951900,189.2616200,0.9530,7.4640,751.0,1.68,196.0,0.35,15.10,1,q1_q17_dr25_tce,3576.00,4.791,0.4630,297.486690,46.996712,15.474
11037335,K01435.01,Kepler-300 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,40.71504980,146.5664700,0.6380,8.5870,563.9,2.20,516.0,16.76,56.40,1,q1_q17_dr25_tce,5968.00,4.534,0.8810,295.288700,48.599720,14.201
12400538,K01503.01,Kepler-867 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,150.24125820,138.2901300,0.3450,10.8490,2378.5,4.60,327.0,2.72,72.30,1,q1_q17_dr25_tce,5604.00,4.451,0.9430,287.285310,51.249981,14.827
10015937,K01720.01,Kepler-1767 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,59.65853480,168.0876400,0.9560,5.5140,1043.8,3.59,393.0,5.66,21.20,1,q1_q17_dr25_tce,5243.00,4.547,0.8310,293.644170,46.989761,15.742
11656918,K01945.01,Kepler-1023 b,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,62.13859790,161.1483400,0.6990,4.2938,886.3,5.14,524.0,17.88,36.10,1,q1_q17_dr25_tce,5123.00,3.992,1.6210,289.029750,49.769711,14.520
11176127,K01430.03,Kepler-298 d,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,77.47409910,184.2453300,0.7580,4.1680,1543.6,2.63,277.0,1.40,27.50,2,q1_q17_dr25_tce,4463.00,4.677,0.6110,283.039790,48.825359,15.415
8611781,K02185.01,Kepler-1135 b,CONFIRMED,CANDIDATE,0.9780,0,0,0,0,76.95705600,192.3368200,0.6380,9.5510,367.1,2.09,451.0,9.81,26.50,1,q1_q17_dr25_tce,5878.00,4.363,1.0410,286.002960,44.756592,14.353
