# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 12 13:34:16 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
12302530,K00438.02,Kepler-155 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,52.66152660,183.520540,0.682,3.1592,1078.1,1.87,271.0,1.28,38.40,2,q1_q17_dr25_tce,3984.00,4.720,0.5390,288.495820,51.081940,14.258
8017703,K00518.03,Kepler-174 d,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,247.35491400,364.158320,0.044,8.6770,1291.8,2.29,212.0,0.48,49.00,2,q1_q17_dr25_tce,4859.00,4.615,0.6510,287.439180,43.832088,14.287
6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,56.05607540,201.165780,0.018,4.6850,1626.0,1.94,233.0,0.69,27.40,1,q1_q17_dr25_tce,3593.00,4.757,0.4910,289.508480,41.812119,15.849
6867155,K00868.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,235.99863990,208.399822,0.778,8.2284,20714.6,10.59,188.0,0.29,271.80,1,q1_q17_dr25_tce,4245.00,4.627,0.6570,293.007970,42.307201,15.172
6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,59.87802580,151.184700,0.004,4.8027,1419.1,2.19,273.0,1.31,51.80,1,q1_q17_dr25_tce,4016.00,4.658,0.5990,295.304500,42.475288,14.995
11075279,K01431.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,345.15893540,318.307719,0.870,7.5646,5087.9,7.79,241.0,0.80,197.90,1,q1_q17_dr25_tce,5597.00,4.515,0.9310,287.022280,48.681938,13.460
10005758,K01783.02,Kepler-1662 c,CONFIRMED,CANDIDATE,0.9910,0,0,0,0,284.06313700,200.836190,0.888,8.2970,1628.1,6.36,321.0,2.51,53.50,2,q1_q17_dr25_tce,5791.00,4.185,1.3360,289.341430,46.988239,13.929
3326377,K01830.02,Kepler-967 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,198.71062510,156.518190,0.026,8.6380,2094.8,3.56,258.0,1.05,62.10,2,q1_q17_dr25_tce,5180.00,4.548,0.8000,286.558070,38.405369,14.443
11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE,0.8540,0,0,0,0,82.53411880,209.127630,0.033,4.8556,1895.4,2.45,260.0,1.08,40.10,1,q1_q17_dr25_tce,4316.00,4.678,0.5800,297.090670,49.626572,15.187
9349482,K02020.01,Kepler-1058 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,110.96437060,187.046210,0.729,12.8310,1283.2,2.11,239.0,0.77,42.10,1,q1_q17_dr25_tce,4441.00,4.695,0.5460,294.595790,45.875031,15.498
