# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 22 07:19:58 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10272858,K05782.01,,CANDIDATE,CANDIDATE,,0,0,0,0,584.556030000,6.6640000e-03,-6.6640000e-03,388.6368500,8.760000e-03,-8.760000e-03,0.3282,0.1252,-0.3281,3.67100,0.36400,-0.36400,346.7,34.8,-34.8,6.69,0.63,-0.37,354.0,,,3.73,0.97,-0.57,10.00,1,q1_q16_tce,5208.00,68.00,-68.00,3.458,0.009,-0.009,3.6200,0.3400,-0.2000,291.362950,47.328709,11.367
10403228,K08007.01,,CANDIDATE,CANDIDATE,0.8040,0,0,0,0,67.176626864,,,144.1192641,,,1.2360,,,3.11470,,,1689.9,,,9.66,1.18,-1.05,179.0,,,0.24,0.08,-0.06,5.90,3,q1_q17_dr25_tce,3391.00,44.00,-40.00,4.936,0.048,-0.032,0.3110,0.0380,-0.0340,291.226720,47.549980,16.064
10460629,K01168.01,,CANDIDATE,CANDIDATE,,0,0,0,0,856.672115000,9.5910000e-03,-9.5910000e-03,228.4498800,7.270000e-03,-7.270000e-03,0.1158,0.2441,-0.1157,23.14400,0.28700,-0.28700,858.1,27.7,-27.7,3.87,1.94,-0.75,242.0,,,0.81,1.22,-0.35,39.20,,,6449.00,163.00,-210.00,4.232,0.163,-0.270,1.3090,0.6560,-0.2540,287.586790,47.600021,13.997
10525077,K05800.01,,CANDIDATE,CANDIDATE,0.9890,0,0,0,0,11.006795000,2.2620000e-04,-2.2620000e-04,135.9925000,1.760000e-02,-1.760000e-02,0.6600,0.0110,-0.5070,5.11200,0.58800,-0.58800,146.4,16.6,-16.6,1.34,0.42,-0.19,874.0,,,138.34,134.32,-48.96,10.90,1,q1_q17_dr25_tce,6091.00,193.00,-214.00,4.424,0.070,-0.210,1.0470,0.3340,-0.1430,287.378080,47.771191,15.355
10552151,K05805.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,525.757041000,5.8190000e-03,-5.8190000e-03,306.8984800,7.760000e-03,-7.760000e-03,0.1100,0.3520,-0.1100,4.99500,0.26700,-0.26700,830.2,67.7,-67.7,11.07,2.24,-3.82,372.0,,,4.52,2.31,-2.75,14.40,1,q1_q17_dr25_tce,5277.00,62.00,-115.00,3.495,0.259,-0.111,3.9310,0.7920,-1.3580,297.838900,47.751709,14.519
10850327,K05833.01,,CANDIDATE,CANDIDATE,0.9400,0,0,0,0,440.171272000,5.7650000e-03,-5.7650000e-03,470.3536900,7.170000e-03,-7.170000e-03,0.9560,0.0120,-0.0120,12.21700,0.70100,-0.70100,783.5,33.7,-33.7,5.97,1.16,-1.90,334.0,,,2.96,1.76,-1.73,38.00,1,q1_q17_dr25_tce,6261.00,174.00,-174.00,4.001,0.280,-0.120,1.6790,0.3280,-0.5330,286.591220,48.220268,13.014
10937029,K00433.01,Kepler-553 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.030466786,1.5740000e-06,-1.5740000e-06,171.0923080,3.010000e-04,-3.010000e-04,0.0330,0.2830,-0.0330,2.77340,0.01490,-0.01490,2908.3,14.8,-14.8,4.48,0.42,-0.21,970.0,,,209.11,61.29,-33.65,227.40,2,q1_q17_dr25_tce,5234.00,103.00,-103.00,4.542,0.028,-0.083,0.8540,0.0800,-0.0400,298.550840,48.332451,14.924
10937029,K00433.02,Kepler-553 c,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,328.240201000,3.5830000e-04,-3.5830000e-04,199.2033750,8.580000e-04,-8.580000e-04,0.7500,0.0060,-0.0110,12.27260,0.06710,-0.06710,13888.6,52.2,-52.2,10.99,1.03,-0.51,224.0,,,0.59,0.18,-0.09,287.60,1,q1_q17_dr25_tce,5234.00,103.00,-103.00,4.542,0.028,-0.083,0.8540,0.0800,-0.0400,298.550840,48.332451,14.924
11075279,K01431.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,345.158935400,4.2600000e-04,-4.2600000e-04,318.3077190,7.850000e-04,-7.850000e-04,0.8700,0.0040,-0.0070,7.56460,0.06440,-0.06440,5087.9,32.1,-32.1,7.79,1.13,-0.36,241.0,,,0.80,0.34,-0.13,197.90,1,q1_q17_dr25_tce,5597.00,112.00,-112.00,4.515,0.021,-0.119,0.9310,0.1360,-0.0420,287.022280,48.681938,13.460
11442793,K00351.01,Kepler-90 h,CONFIRMED,CANDIDATE,0.0000,0,0,0,0,331.597273200,2.4590000e-04,-2.4590000e-04,140.4989290,5.860000e-04,-5.860000e-04,0.0200,0.1360,-0.0200,14.40400,0.03190,-0.03190,8322.1,25.3,-25.3,10.89,1.77,-1.45,294.0,,,1.76,0.79,-0.55,355.00,1,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
