# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 22 07:20:06 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
10272858,K05782.01,,CANDIDATE,CANDIDATE,,0,0,0,0,584.556030000,388.6368500,0.3282,3.67100,346.7,6.69,354.0,3.73,10.00,1,q1_q16_tce,5208.00,3.458,3.6200,291.362950,47.328709,11.367
10403228,K08007.01,,CANDIDATE,CANDIDATE,0.8040,0,0,0,0,67.176626864,144.1192641,1.2360,3.11470,1689.9,9.66,179.0,0.24,5.90,3,q1_q17_dr25_tce,3391.00,4.936,0.3110,291.226720,47.549980,16.064
10460629,K01168.01,,CANDIDATE,CANDIDATE,,0,0,0,0,856.672115000,228.4498800,0.1158,23.14400,858.1,3.87,242.0,0.81,39.20,,,6449.00,4.232,1.3090,287.586790,47.600021,13.997
10525077,K05800.01,,CANDIDATE,CANDIDATE,0.9890,0,0,0,0,11.006795000,135.9925000,0.6600,5.11200,146.4,1.34,874.0,138.34,10.90,1,q1_q17_dr25_tce,6091.00,4.424,1.0470,287.378080,47.771191,15.355
10552151,K05805.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,525.757041000,306.8984800,0.1100,4.99500,830.2,11.07,372.0,4.52,14.40,1,q1_q17_dr25_tce,5277.00,3.495,3.9310,297.838900,47.751709,14.519
10850327,K05833.01,,CANDIDATE,CANDIDATE,0.9400,0,0,0,0,440.171272000,470.3536900,0.9560,12.21700,783.5,5.97,334.0,2.96,38.00,1,q1_q17_dr25_tce,6261.00,4.001,1.6790,286.591220,48.220268,13.014
10937029,K00433.01,Kepler-553 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.030466786,171.0923080,0.0330,2.77340,2908.3,4.48,970.0,209.11,227.40,2,q1_q17_dr25_tce,5234.00,4.542,0.8540,298.550840,48.332451,14.924
10937029,K00433.02,Kepler-553 c,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,328.240201000,199.2033750,0.7500,12.27260,13888.6,10.99,224.0,0.59,287.60,1,q1_q17_dr25_tce,5234.00,4.542,0.8540,298.550840,48.332451,14.924
11075279,K01431.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,345.158935400,318.3077190,0.8700,7.56460,5087.9,7.79,241.0,0.80,197.90,1,q1_q17_dr25_tce,5597.00,4.515,0.9310,287.022280,48.681938,13.460
11442793,K00351.01,Kepler-90 h,CONFIRMED,CANDIDATE,0.0000,0,0,0,0,331.597273200,140.4989290,0.0200,14.40400,8322.1,10.89,294.0,1.76,355.00,1,q1_q17_dr25_tce,5970.00,4.317,1.2000,284.433500,49.305161,13.804
