# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 16 10:19:21 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=PAREDES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..176P/abstract target=ref>Paredes et al. 2021</a>,2.21800000000,0.0310000000,,,371.85923619,1.17000000,Msini,0.028000,,,0,<a refstr=PAREDES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..176P/abstract target=ref>Paredes et al. 2021</a>,K2 V,,,0.840000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2022-01-10,2021-11,2022-01-10
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,2.21857480391,,13.30103550,1.18664095,,,,,348.1506,1101.70,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5023.00,0.776484,,,,4.580000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2023-03-28,2017-07,2023-03-28
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BALUEV_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.3101B/abstract target=ref>Baluev et al. 2015</a>,2.21857520000,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5023.00,0.776484,0.840000,0.0200,[M/H],4.582080,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2018-04-25,2015-07,2015-04-24
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MORELLO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...786...22M/abstract target=ref>Morello et al. 2014</a>,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5023.00,0.776484,0.840000,0.0200,[M/H],4.582080,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2018-04-25,2014-05,2015-08-27
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DI_GLORIA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..84D/abstract target=ref>Di Gloria et al. 2015</a>,2.21857300000,0.0312000000,,,,,,,,,0,<a refstr=DI_GLORIA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..84D/abstract target=ref>Di Gloria et al. 2015</a>,,,0.766000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2018-04-25,2015-08,2015-10-15
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=CEGLA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.127C/abstract target=ref>Cegla et al. 2016</a>,2.21857567000,,,,,,,0.000000,,,0,<a refstr=CEGLA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.127C/abstract target=ref>Cegla et al. 2016</a>,,4875.00,0.805000,,,,4.560000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2019-12-02,2016-04,2019-12-05
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,2.21857494400,,,,,,,,,,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,5040.00,0.756000,0.806000,-0.0300,[Fe/H],4.587000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2024-03-04,2023-03,2024-03-04
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,2.21857578000,0.0314200000,12.90155900,1.15100000,365.50450000,1.15000000,Mass,,,1191.00,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,,5050.00,0.752000,0.840000,-0.0300,[Fe/H],4.610000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2018-04-25,2010-11,2016-01-14
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=IVSHINA__AMP__WINN_2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..259...62I/abstract target=ref>Ivshina &amp; Winn 2022</a>,2.21857514300,,,,,,,,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2022-10-18,2022-04,2022-10-18
HD 189733 b,HD 189733,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,2.21857300000,0.0309900000,12.75600000,1.13800000,363.58200000,1.14400000,Mass,,,1201.00,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,5040.00,0.756000,0.806000,-0.0300,[Fe/H],4.587000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,7.6700000,5.5410000,7.4143200,2018-04-25,2008-04,2014-08-21
